success,collision,steps,energy,safety,path_length
1,0,598,31.637754,0.53004444,4.2502554928883916
1,0,116,7.264359,0.79527974,3.9061849849764263
0,1,35,2.419748,0.30325988,0.8392108026891949
1,0,199,9.332603,0.47152537,2.625195731129498
1,0,86,5.0759683,0.9041442,3.1128028199775155
1,0,46,1.773694,0.8909328,1.5710367913357917
1,0,57,1.6180905,1.0643542,1.8184259889065282
1,0,41,1.9795871,0.55204713,1.5458662152814215
1,0,117,6.4056644,0.9132785,3.5112864289607386
1,0,145,7.072255,0.885081,3.203801402647515
1,0,102,5.6091533,0.3730997,3.3977761499118073
1,0,282,16.07735,0.6172328,12.5370165363187
1,0,373,19.717562,0.34952334,4.607498362427578
1,0,65,2.3504946,0.62614405,1.960112881474197
1,0,301,15.037525,0.5751074,3.217945908196271
1,0,121,5.2019477,0.7144808,1.570807341486215
1,0,111,6.0401697,0.37071937,2.599241374060512
1,0,197,8.818797,0.7750467,3.5385693613847247
1,0,79,3.597025,0.82002264,2.5884256229241145
1,0,273,13.677062,0.48486337,4.348231893754566
1,0,166,9.850304,0.48994133,2.7420245820307176
1,0,41,0.9491748,1.1138009,1.1610075129661706
1,0,61,3.1593375,0.9870836,1.2067970600211995
0,1,83,5.2568493,0.30871078,0.8739198152441531
1,0,113,6.272827,0.7094827,3.987251122039742
1,0,84,4.3271666,0.9117227,2.2100599855300977
0,1,257,11.914129,0.29957247,4.08491869857535
1,0,427,19.802542,0.43721792,13.88654882542178
1,0,58,2.1696985,0.6178255,1.9143885148689148
1,0,197,13.179024,0.56377256,8.634033300541343
1,0,84,4.4587646,0.51246816,1.9211824794416315
1,0,120,6.1758237,0.66509426,4.3899762440967605
1,0,122,7.4178534,0.7410561,3.2648305938579147
1,0,306,15.371482,0.8708289,4.51344872469781
0,1,872,43.566784,0.29740104,2.7660919755697266
1,0,103,5.8023834,1.3326874,3.949497480216086
1,0,181,9.083978,0.6355098,1.6150857452303167
1,0,510,27.753782,0.563888,7.02049655171286
1,0,105,5.409208,0.5130956,3.949180270452051
1,0,103,6.174851,0.87420434,3.275767161510885
1,0,98,6.359611,0.8754312,3.3507408117875466
0,1,364,19.236448,0.31201836,0.9618341170251368
1,0,97,5.666319,0.57940143,1.645026356820017
1,0,74,2.7022347,0.7151099,2.3947561413981022
1,0,132,7.625527,0.9140076,3.8143475023331117
1,0,46,2.2571287,0.79482114,1.5536585364490745
1,0,435,24.792881,0.6176069,4.720845588389783
1,0,88,4.1762085,0.8281196,1.2932773522625216
1,0,62,3.1897435,0.85123223,1.5128412405174456
1,0,101,5.8711667,0.563399,2.9454679907474195
