success,cte,max_cte,smoothness,tortuosity,velocity,collision,steps,energy
True,0.01067048185595616,0.02749572678084506,0.02574449938614208,0.9994120463869982,0.19691832908769932,False,410,1.7645291
True,0.012355742846805216,0.029776799038101386,0.0317070391110304,0.9990702247955681,0.20165412517057524,False,360,1.8079743
True,0.016181845502959407,0.02692546614743877,0.046252103832639495,1.0024931894706357,0.33132372742066496,False,383,3.1649373
True,0.010108139349276613,0.026929069597922874,0.02469513067892591,0.9992983187371803,0.19207812994372817,False,431,1.7597992
True,0.01393258274579283,0.032178549916966,0.03506725535362516,1.0008387230384035,0.23018609223649364,False,454,2.6667845
True,0.015254311187671099,0.02493534780861696,0.04407644723136534,1.0017737070246528,0.3266469371774032,False,419,3.325229
True,0.0068139512399345275,0.020506288118493515,0.03903140935797903,0.9537002640647153,0.27169382986095214,False,54,0.25139272
True,0.014938663681859067,0.02637768003751204,0.04282127058954205,1.0014736959988597,0.32571301786491025,False,391,3.0700033
True,0.008300175554429032,0.026390820264494352,0.038507710584337024,0.975879898819538,0.2776144862174988,False,85,0.46461767
True,0.014081903917593432,0.02456295373539377,0.040490214141989965,1.002475484691893,0.30868534114703816,False,424,3.0948532
True,0.004055929637920157,0.013644741962417769,0.025554418878679232,0.9695444521348949,0.2606433174316434,False,69,0.25435615
True,0.01564690926389065,0.026414645445899027,0.0427604757832411,1.0016323530362965,0.324592820294304,False,363,2.867842
True,0.01735407558032907,0.03256071374054941,0.04463105034259124,1.0038125887043563,0.298673762891364,False,384,3.050406
True,0.013729017851837482,0.024615679143590242,0.03980654871978208,1.0003222855879317,0.31075745154874884,False,387,2.7883112
True,0.01221233799225409,0.026781221743706583,0.030954724340900946,0.9998982209207272,0.19583489801202503,False,350,1.6693646
True,0.01073202488165743,0.027224944358087283,0.02645881666134534,0.9978114582955047,0.19608276862353446,False,413,1.7852657
True,0.014827861085068637,0.024658751137089454,0.042378307413311514,1.0017419252662187,0.3172432699379671,False,362,2.7556872
True,0.01622688593044626,0.024510210833432914,0.04396645948053422,1.0031048096782584,0.30845235859426745,False,343,2.685522
True,0.013031687339455852,0.031225708192353135,0.033285891391046124,0.9989121606407659,0.20817069750583894,False,379,2.0185807
True,0.010805609713560657,0.02674274303577301,0.02595577120479343,0.9987458331321923,0.18699647334191297,False,446,1.8617399
True,0.010666646409845229,0.027609645280346234,0.02587480570818017,0.9982230393959499,0.19505290869992595,False,444,1.8999065
True,0.01416130171842592,0.02491649790838156,0.041264244874152,1.0009073085400029,0.31352847359246677,False,360,2.669726
True,0.016511242360810176,0.026452691555282765,0.04310858391869778,1.0024940203692954,0.2993249944423976,False,365,2.8174484
True,0.016375206398696274,0.024700933703185796,0.04600775593495092,1.0029088910053723,0.32746119248450445,False,372,3.060111
True,0.01580241822389544,0.02570891753109012,0.04353225943214699,1.0025436081790533,0.30306173226347677,False,351,2.6821034
True,0.009561273601197406,0.015288092146802223,0.022538527747435755,0.9988893018166907,0.17604486621393448,False,456,1.6368986
True,0.015186061442575812,0.026239704872917716,0.05173537306306239,0.9792832439548305,0.32999363627986633,False,69,0.5677562
True,0.012311030712750635,0.026706621045344416,0.029900657108260138,0.9989035096423277,0.19705981085045204,False,411,1.9687163
True,0.014548234342223474,0.026223159397727593,0.04156139144970433,1.0013928772329412,0.32023268446519776,False,385,2.9261785
True,0.011374839841617409,0.026180141844723087,0.02642625989465133,1.0005303608382579,0.18975467633286255,False,417,1.8168135
True,0.013651162562655176,0.03158671366760449,0.03515137923447595,1.0008306270477059,0.2264392911303491,False,426,2.4710836
True,0.015575991774747354,0.02545286677197699,0.04316993050292407,1.0033295566603782,0.31242293535405885,False,403,3.1143203
True,0.00920121103785629,0.025242901396487466,0.023080493593039018,0.9993234569330635,0.1899804009865689,False,465,1.7522103
True,0.008892013322092385,0.015565160967856009,0.021108380382324137,0.9968596242298946,0.18213986320896763,False,419,1.4770914
True,0.013718277608971877,0.027082805630051634,0.046756458617202686,0.9808648638232178,0.3136252102351958,False,93,0.71224153
True,0.014160971236659338,0.024627804631625474,0.04143106657738935,1.0001376190110656,0.31117035013779143,False,401,2.9618342
True,0.009528952977749638,0.015432671135832458,0.022378938940739362,0.9981875784252171,0.17658530784095738,False,458,1.6443676
True,0.01050503987348189,0.027196552535794387,0.025960018031092998,0.9969198225569076,0.19653637155110515,False,363,1.5548205
True,0.012580243381412552,0.030100146728408963,0.03132242193435899,0.9990418271729004,0.20199280960459104,False,355,1.7914124
True,0.012090415501779595,0.026172849453398154,0.03008543797879103,0.9986256774965223,0.19385563766485767,False,380,1.775522
True,0.013228234228238316,0.024778211350953407,0.039473329278552856,0.9994441771722025,0.3093371556072451,False,397,2.8164709
True,0.009083461016151352,0.015593619377158948,0.022521449484885214,0.9970518722971852,0.18177895900504343,False,435,1.5557221
True,0.010342642288580044,0.02622784511234752,0.025151636944333998,0.9994984407479793,0.1952439205460651,False,465,1.9456722
True,0.002967452634469346,0.0057593110467680135,0.0316146641468929,0.9308668356898043,0.23369217415650687,False,33,0.106107764
True,0.008832968909892611,0.015340042198893821,0.021880740719994386,0.9978656881149804,0.18350669984512918,False,454,1.6036073
True,0.014897423426187153,0.024726477942378033,0.04265031306327355,1.001212661665108,0.3110566092990442,False,361,2.7332747
True,0.01186778016812239,0.026295555338295813,0.027944555067166837,1.000541876102985,0.18613222732384632,False,434,1.9369586
True,0.010420955522049661,0.0263211793296223,0.025049919743317325,0.9992276382115705,0.19211117913347656,False,451,1.8709806
True,0.014353163348693077,0.02643710567672913,0.05066276969197975,0.9621147314534998,0.2689970528174724,False,56,0.41253084
True,0.015663997099622955,0.031975524881353794,0.04316587700401851,1.001442124904513,0.27508498945656945,False,425,3.0695345
