success,cte,max_cte,smoothness,tortuosity,velocity,collision,steps,energy
True,0.044078335107668974,0.08239396418481074,0.11311086334965446,0.9760266208192347,0.11714144827333162,False,429,1.2932179
True,0.04349333707934759,0.08045254328263711,0.1165043165286382,0.9787595064836996,0.1211666219880701,False,378,1.2811115
True,0.06529456528883976,0.08410415360618305,0.11485595447999059,0.9666677963431294,0.0642319438102513,False,462,1.1143082
True,0.04668913180428041,0.08335832881644013,0.114011512673666,0.9744823507907887,0.10846600090239797,False,452,1.2994078
True,0.0420647308492821,0.07850217052999996,0.1163303480470205,0.9869028244217515,0.1308577957160788,False,487,1.6834117
True,0.051134981921612026,0.0840657663602429,0.11354618146259934,0.9700593568709643,0.09182024432899699,False,493,1.2872676
True,0.0009466629878962657,0.0012732541720647406,0.1057087904694727,0.9470105802564397,0.15575888425001275,False,59,0.13506801
True,0.051770133830365585,0.08394390414417192,0.11354985568114837,0.9697351778995236,0.08877704574154799,False,461,1.1760781
True,0.008803183627092875,0.011625049470325156,0.11005190427860488,0.968569199451833,0.1715618135083629,False,92,0.25370884
True,0.044820126138632586,0.08341542085137238,0.11244117454798133,0.9759667801235559,0.11154256927822247,False,486,1.3504059
True,0.0023186198495055202,0.0026258416797004516,0.10504334359555631,0.9634042394435423,0.16802039056563298,False,74,0.14426741
True,0.05115831357985945,0.08370006061040682,0.11433242577971987,0.9688321420873962,0.0917409921287419,False,426,1.1256422
True,0.0477850016072467,0.08292542057490636,0.11653107375791084,0.9769119489867133,0.10805154663415469,False,438,1.41937
True,0.04192882961595443,0.08305164265434398,0.11219271894704139,0.9752067036195657,0.11631383656200367,False,443,1.2077465
True,0.0429826364213375,0.08061595946153309,0.11630801478885625,0.9779492552768076,0.1215197548664124,False,365,1.2454976
True,0.04485036740910413,0.08256184851650403,0.11330918146955499,0.9755542765918512,0.11538895426520902,False,433,1.3066077
True,0.04568667437348189,0.08305098662778203,0.11347175749580256,0.9721482455687559,0.10706959538644684,False,418,1.1525239
True,0.044769465387653036,0.0820033757236332,0.11425822203421532,0.9754439579980444,0.11617242033793436,False,391,1.246547
