Model Name,Date,Success Rate (%),Collision Rate (%),Mean Steps,Avg Energy,Safety Margin,Nav Efficiency,Path Lenght
nav_v1,2026-01-12 11:43,100.0,0.0,286.3,8.713217735290527,3.0,,
nav_v1,2026-01-12 15:33,100.0,0.0,281.78,8.818381309509277,3.0,,3.845861615194013
nav_v1,2026-01-15 10:06,2.0,80.0,289.88,24.078275680541992,0.3652068972587585,,14.369761423602702
nav_v1,2026-01-15 10:08,0.0,88.0,256.76,11.39630889892578,0.3459036350250244,,10.352155597691162
nav_v1,2026-01-15 10:10,0.0,88.0,256.76,11.39630889892578,0.3459036350250244,,10.352155597691162
nav_v1,2026-01-15 10:18,0.0,88.0,256.76,11.396309814453126,0.3459036350250244,,10.352155597691162
nav_v1,2026-01-15 10:24,0.0,88.0,256.76,11.39630889892578,0.3459036350250244,,10.352155597691162
nav_v1,2026-01-15 10:43,96.0,0.0,140.98,7.519084453582764,0.9291996955871582,,2.9018598538605
nav_v1,2026-01-15 10:46,90.0,10.0,176.68,9.213601112365724,0.6702539920806885,,3.366179887449748
nav_v1,2026-01-15 11:19,90.0,10.0,176.68,9.213601112365724,0.6702539920806885,,3.366179887449748
nav_v1,2026-01-15 11:20,90.0,10.0,176.68,9.213601112365724,0.6702539920806885,,3.366179887449748
nav_v1,2026-01-15 11:24,90.0,10.0,176.68,9.213601112365724,0.6702539920806885,,3.3661798874497477
nav_v1,2026-01-15 11:44,90.0,10.0,173.1,9.035484313964844,0.670285165309906,,3.3684418977535966
nav_v1,2026-01-15 11:47,90.0,10.0,173.1,9.035484313964844,0.670285165309906,,3.3684418977535966
nav_v1,2026-01-15 13:48,80.0,6.0,353.7,14.36764144897461,0.7049140334129333,,2.1502692218901647
nav_v1,2026-01-15 13:54,86.0,10.0,311.58,11.659231185913086,0.6689463257789612,,2.415033574339468
